family	m1_age	m1_mba	m1c1_age	m1c1_mba	m1c2_age	m1c2_mba
F098	36.12876712328767		9.898630136986302	26.23013698630137	7.904109589041096	28.224657534246575
F113	45.63835616438356		20.438356164383563	25.2	15.386301369863014	30.252054794520546
F117	39.16164383561644		18.136986301369863	21.024657534246575	16.991780821917807	22.16986301369863
F133	39.03013698630137		15.405479452054795	23.624657534246577	5.832876712328767	33.1972602739726
F154	43.11780821917808		13.693150684931506	29.424657534246574	11.342465753424657	31.775342465753425
F156	43.66575342465753	32.706849315068496	13.09041095890411	30.575342465753426	9.6	34.06575342465754
F157	48.53150684931507		13.342465753424657	35.18904109589041	9.454794520547946	39.07671232876712
F159	51.4		17.389041095890413	34.010958904109586	16.07123287671233	35.32876712328767
F162	32.4		7.53972602739726	24.86027397260274	2.1616438356164385	30.23835616438356
F163	24.936986301369863		3.8904109589041096	21.046575342465754	1.5808219178082192	23.356164383561644
F171	29.2	28.991780821917807	5.605479452054794	23.594520547945205	3.6575342465753424	25.542465753424658
F173	34.68219178082192		2.2849315068493152	32.397260273972606	1.0794520547945206	33.602739726027394
F176	31.69041095890411		7.693150684931507	23.997260273972604	0.4904109589041096	31.2
F183	66.40547945205479		51.038356164383565	15.367123287671232	49.66027397260274	16.745205479452054
F187	34.413698630136984		8.408219178082192	26.005479452054793	3.3424657534246576	31.07123287671233
F197	39.50958904109589		5.457534246575342	34.05205479452055	3.041095890410959	36.46849315068493
F208	30.208219178082192		3.336986301369863	26.87123287671233	1.632876712328767	28.575342465753426
F210	41.69041095890411		8.994520547945205	32.6958904109589	6.7315068493150685	34.95890410958904
F211	24.213698630136985		3.1534246575342464	21.06027397260274	1.5123287671232877	22.7013698630137
F251	47.56438356164384		17.24931506849315	30.315068493150687	14.852054794520548	32.71232876712329
F252	34.59178082191781		6.178082191780822	28.413698630136988	3.6191780821917807	30.972602739726028
F253	42.97534246575343		9.53972602739726	33.43561643835616	7.605479452054794	35.36986301369863
F256	37.85753424657534		13.761643835616438	24.095890410958905	9.73150684931507	28.126027397260273
F257	38.78630136986301		10.602739726027398	28.183561643835617	7.841095890410959	30.945205479452056
F258	45.4027397260274		7.761643835616439	37.64109589041096	7.761643835616439	37.64109589041096
F260	33.97260273972603		7.67945205479452	26.293150684931508	5.115068493150685	28.85753424657534
F265	31.53150684931507		9.032876712328767	22.4986301369863	5.978082191780822	25.553424657534247
F274	39.69041095890411		11.43013698630137	28.26027397260274	6.073972602739726	33.61643835616438
F281	33.723287671232875		3.5972602739726027	30.126027397260273	1.6356164383561644	32.087671232876716
F285	32.153424657534245		13.498630136986302	18.654794520547945	4.441095890410959	27.71232876712329
F292	38.104109589041094		6.068493150684931	32.035616438356165	4.276712328767124	33.827397260273976
F293	38.38904109589041		9.147945205479452	29.24109589041096	6.594520547945206	31.794520547945204
F296	44.345205479452055		11.326027397260274	33.01917808219178	11.326027397260274	33.01917808219178
F298	41.772602739726025		14.616438356164384	27.156164383561645	11.66027397260274	30.112328767123287
F300	41.58904109589041		6.682191780821918	34.90684931506849	4.608219178082192	36.98082191780822
F304	35.07397260273972		5.441095890410959	29.632876712328766	1.9342465753424658	33.13972602739726
F305	37.59452054794521		9.835616438356164	27.75890410958904	7.372602739726028	30.221917808219178
F306	41.964383561643835		5.728767123287671	36.23561643835617	4.326027397260274	37.63835616438356
F308	42.49315068493151		15.887671232876713	26.605479452054794	11.189041095890412	31.304109589041097
F310	25.276712328767122		5.64931506849315	19.627397260273973	0.9835616438356164	24.293150684931508
F311	49.28493150684932		15.715068493150685	33.56986301369863	10.56986301369863	38.71506849315068
F313	31.528767123287672		8.189041095890412	23.339726027397262	4.832876712328767	26.695890410958903
F317	42.85479452054795		13.2986301369863	29.556164383561644	10.912328767123288	31.942465753424656
F319	32.69315068493151		12.219178082191782	20.473972602739725	9.191780821917808	23.5013698630137
F321	44.62739726027397		13.926027397260274	30.7013698630137	10.27945205479452	34.347945205479455
F323	32.016438356164386		6.898630136986301	25.117808219178084	5.616438356164384	26.4
F324	32.20821917808219		13.073972602739726	19.134246575342466	8.131506849315068	24.076712328767123
F326	31.60821917808219		13.682191780821919	17.926027397260274	10.758904109589041	20.84931506849315
F327	48.608219178082194		15.578082191780823	33.03013698630137	13.131506849315068	35.47671232876712
F333	49.66027397260274		11.835616438356164	37.824657534246576	8.610958904109589	41.04931506849315
F334	81.2904109589041		56.964383561643835	24.326027397260273	54.553424657534244	26.736986301369864
F342	40.38082191780822		2.8794520547945206	37.5013698630137	2.8794520547945206	37.5013698630137
F343	46.632876712328766		12.895890410958904	33.73698630136986	9.745205479452055	36.88767123287671
F344	35.99178082191781		3.9068493150684933	32.084931506849315	1.3917808219178083	34.6
F351	42.92876712328767		16.34794520547945	26.58082191780822	13.210958904109589	29.71780821917808
FE	38.94794520547945		10.586301369863014	28.361643835616437	4.1726027397260275	34.775342465753425
FK	40.31780821917808		9.643835616438356	30.673972602739727	5.208219178082191	35.10958904109589
